Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
10x_v2,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","","",Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
FACS,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",FACS,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
Fluidigm C1,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","","",Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
drop-seq,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",Drop-Seq,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
inDrop,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",InDrop,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
mouth pipette,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",Mouth_Pipette,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
enzymatic,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",Enzymatic,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
mechanical,"","","",FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,"","",Mechanical,Class,Biosample,Specimen_Processing,Dissociation_Method,"","",""
