Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Polymeric nanoparticles,"Polymeric nanoparticles (PNPs) are solid and spherical (in most cases) structures prepared from natural or synthetic polymers with drug delivery being known to be one of the most important biomedical applications (reference: Hirvonen et al., Nanoengineered Biomaterials for Advanced Drug Delivery, 2020)","","",FALSE,"",,materialType,"","",Polymeric_Nanoparticles,Class,Sample,Material,"","","",""
DNA,"DNA (deoxyribonucleic acid) is a polymer of nucleotides and is the genetic material in organisms and some viruses.","","",FALSE,"",,materialType,"","",DNA,Class,Sample,Material,"","","",""
