#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/nfosi/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-07-20
#curie_map: 
# nf: https://w3id.org/synapse/nfosi/vocab/
# personinfo: https://w3id.org/linkml/examples/personinfo/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# skos: http://www.w3.org/2004/02/skos/core#
# prov: http://www.w3.org/ns/prov#
# htan: https://raw.githubusercontent.com/ncihtan/data-models/main/HTAN.model.jsonld
# NCIT: http://purl.obolibrary.org/obo/NCIT_
# BTO: http://purl.obolibrary.org/obo/BTO_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# OBI: http://purl.obolibrary.org/obo/OBI_
# UO: http://purl.obolibrary.org/obo/UO_
# CL: http://purl.obolibrary.org/obo/CL_
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# MI: http://purl.obolibrary.org/obo/MI_
# MMO: http://purl.obolibrary.org/obo/MMO_
# ERO: http://purl.obolibrary.org/obo/ERO_
# MAXO: http://purl.obolibrary.org/obo/MAXO_
# MONDO: http://purl.obolibrary.org/obo/MONDO_
# HP: http://purl.obolibrary.org/obo/HP_
# VT: http://purl.obolibrary.org/obo/VT_
# FMA: http://purl.obolibrary.org/obo/FMA_
# CLO: http://purl.obolibrary.org/obo/CLO_
# GENO: http://purl.obolibrary.org/obo/GENO_
# GO: http://purl.obolibrary.org/obo/GO_
# IAO: http://purl.obolibrary.org/obo/IAO_
# MS: http://purl.obolibrary.org/obo/MS_
# OMIABIS: http://purl.obolibrary.org/obo/OMIABIS_
# FBbi: http://purl.obolibrary.org/obo/FBbi_
# FBcv: http://purl.obolibrary.org/obo/FBcv_
# PATO: http://purl.obolibrary.org/obo/PATO_
# EFO: http://www.ebi.ac.uk/efo/EFO_
# EDAM: http://edamontology.org/
# BAO: http://www.bioassayontology.org/bao#BAO_
# SWO: http://www.ebi.ac.uk/swo/data/SWO_
# SNOMED: http://snomed.info/id/
# ENM: http://purl.enanomapper.org/onto/ENM_
# DCM: http://dicom.nema.org/resources/ontology/DCM/
# CHEMINF: http://semanticscience.org/resource/CHEMINF_
# CMPO: http://www.ebi.ac.uk/cmpo/CMPO_
# ZFA: http://purl.obolibrary.org/obo/ZFA_
# DOID: http://purl.obolibrary.org/obo/DOID_
# DUO: http://purl.obolibrary.org/obo/DUO_
# NBO: http://purl.obolibrary.org/obo/NBO_
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# MESH: https://id.nlm.nih.gov/mesh/
# OMIM: https://omim.org/entry/
# rrid: https://identifiers.org/RRID:
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
nf:ArrayFileFormatEnum#idat	idat	skos:exactMatch		EDAM:format_3578		skos:exactMatch	https://w3id.org/nfosi/						ArrayFileFormatEnum			
nf:ArrayPlatformEnum#10xVisiumSpatialGeneExpression	10xVisiumSpatialGeneExpression	skos:exactMatch		EFO:0010961		skos:exactMatch	https://w3id.org/nfosi/						ArrayPlatformEnum			
nf:ArrayPlatformEnum#IlluminaInfiniumMethylationEPICBeadChipv1.0(850k)	IlluminaInfiniumMethylationEPICBeadChipv1.0(850k)	skos:exactMatch		OBI:0002131		skos:exactMatch	https://w3id.org/nfosi/						ArrayPlatformEnum			
nf:ArrayPlatformEnum#NanoStringnCounterAnalysisSystem	NanoStringnCounterAnalysisSystem	skos:exactMatch		NCIT:C198498		skos:exactMatch	https://w3id.org/nfosi/						ArrayPlatformEnum			
nf:BiologicalProcess#atrophy	atrophy	skos:exactMatch		EFO:0000001		skos:exactMatch	https://w3id.org/nfosi/						BiologicalProcess			
nf:BiologicalProcess#braindevelopment	braindevelopment	skos:exactMatch		GO:0007420		skos:exactMatch	https://w3id.org/nfosi/						BiologicalProcess			
nf:BiologicalProcess#druginteraction	druginteraction	skos:exactMatch		EFO:0009878		skos:exactMatch	https://w3id.org/nfosi/						BiologicalProcess			
nf:BiologicalProcess#drugresistance	drugresistance	skos:exactMatch		EFO:0020001		skos:exactMatch	https://w3id.org/nfosi/						BiologicalProcess			
nf:BiologicalProcess#drugtoxicity	drugtoxicity	skos:exactMatch		EFO:0020003		skos:exactMatch	https://w3id.org/nfosi/						BiologicalProcess			
nf:BodyPartEnum#back	back	skos:exactMatch		UBERON:0001137		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:BodyPartEnum#groin	groin	skos:exactMatch		UBERON:0008337		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:BodyPartEnum#head	head	skos:exactMatch		UBERON:0000033		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:BodyPartEnum#iliacspine	iliacspine	skos:exactMatch		UBERON:0013707		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:BodyPartEnum#spine	spine	skos:exactMatch		UBERON:0001130		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:BodyPartEnum#thoracicspine	thoracicspine	skos:exactMatch		UBERON:0006073		skos:exactMatch	https://w3id.org/nfosi/						BodyPartEnum			
nf:Cell#B-lymphocytes	B-lymphocytes	skos:exactMatch		CL:0000236		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#Embryonicstemcells	Embryonicstemcells	skos:exactMatch		NCIT:C12935		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#GABAergicneurons	GABAergicneurons	skos:exactMatch		ZFA:0009276		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#SH-SY5Y	SH-SY5Y	skos:exactMatch		BTO:0000793		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#Schwanncellprecursor	Schwanncellprecursor	skos:exactMatch		CL:0002375		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#arachnoid	arachnoid	skos:exactMatch		BTO:0001636		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#astrocytes	astrocytes	skos:exactMatch		CL:0000127		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#culturedMullerglia	culturedMullerglia	skos:exactMatch		CL:0000636		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#epithelial	epithelial	skos:exactMatch		CL:0000066		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#fibroblast	fibroblast	skos:exactMatch		CL:0000057		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#iPSC	iPSC	skos:exactMatch		EFO:0004905		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#lymphoblast	lymphoblast	skos:exactMatch		BTO:0000772		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#macrophages	macrophages	skos:exactMatch		CL:0000235		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#meningioma	meningioma	skos:exactMatch		DOID:3565		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#microglia	microglia	skos:exactMatch		BTO:0000078		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#monocytes	monocytes	skos:exactMatch		CL:0000576		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#oligodendrocyte	oligodendrocyte	skos:exactMatch		CL:0000128		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#round	round	skos:exactMatch		CMPO:0000118		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#schwann	schwann	skos:exactMatch		BTO:0001220		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#schwannoma	schwannoma	skos:exactMatch		EFO:0000693		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:Cell#teratoma	teratoma	skos:exactMatch		NCIT:C3403		skos:exactMatch	https://w3id.org/nfosi/						Cell			
nf:CellBasedAssayEnum#ATPaseactivityassay	ATPaseactivityassay	skos:exactMatch		MI:0880		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#BrdUproliferationassay	BrdUproliferationassay	skos:exactMatch		OBI:0000664		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#ELISA	ELISA	skos:exactMatch		NCIT:C16553		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#EdUproliferationassay	EdUproliferationassay	skos:exactMatch		OBI:0000891		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#HPLC	HPLC	skos:exactMatch		NCIT:C16434		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#SDS-PAGE	SDS-PAGE	skos:exactMatch		EFO:0010936		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#STRprofile	STRprofile	skos:exactMatch		NCIT:C129889		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#bluenativePAGE	bluenativePAGE	skos:exactMatch		MI:0276		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#cellcount	cellcount	skos:exactMatch		NCIT:C48938		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#cellpermeabilityassay	cellpermeabilityassay	skos:exactMatch		BAO:0002778		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#cellproliferation	cellproliferation	skos:exactMatch		ERO:0000636		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#cellviabilityassay	cellviabilityassay	skos:exactMatch		BAO:0003009		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#combinationlibraryscreen	combinationlibraryscreen	skos:exactMatch		ERO:0001686		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#currentclampassay	currentclampassay	skos:exactMatch		OBI:0002185		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#differentialscanningcalorimetry	differentialscanningcalorimetry	skos:exactMatch		CHMO:0000684		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#dynamiclightscattering	dynamiclightscattering	skos:exactMatch		CHMO:0000167		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#electrochemiluminescence	electrochemiluminescence	skos:exactMatch		NCIT:C111193		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#flowcytometry	flowcytometry	skos:exactMatch		OBI:0000916		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#gelfiltrationchromatography	gelfiltrationchromatography	skos:exactMatch		CHMO:0001011		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#highcontentscreen	highcontentscreen	skos:exactMatch		EFO:0007550		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
nf:CellBasedAssayEnum#lightscatteringassay	lightscatteringassay	skos:exactMatch		CHMO:0000166		skos:exactMatch	https://w3id.org/nfosi/						CellBasedAssayEnum			
