Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Male,"A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C20197,sex,,"","",Male,Class,Biosample,Sex,"","","",""
Female,"A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C16576,sex,,"","",Female,Class,Biosample,Sex,"","","",""
Unknown,"Not known, observed, recorded; or reported as unknown by the data contributor.","","",FALSE,http://purl.obolibrary.org/obo/NCIT_C17998,sex,,"","",Unknown_Sex,Class,Biosample,Sex,"","","",""
