Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
JAX,The Jackson Laboratory,"","",FALSE,https://www.jax.org,individualIdSource,,"","",JAX,Class,Other,Organization,"","","",""
sageCommunity,"","","",FALSE,"","",,"","","",Class,Other,Organization,"","","",""
