Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
seconds,"","","",FALSE,"",timePointUnit,,"","",seconds,Class,Experiment,Unit,Time_Unit,"","",""
minutes,"","","",FALSE,"",timePointUnit,,"","",minutes,Class,Experiment,Unit,Time_Unit,"","",""
hours,"","","",FALSE,"",timePointUnit,,"","",hours,Class,Experiment,Unit,Time_Unit,"","",""
days,"","","",FALSE,"",timePointUnit,,"","",days,Class,Experiment,Unit,Time_Unit,"","",""
weeks,"","","",FALSE,"",timePointUnit,,"","",weeks,Class,Experiment,Unit,Time_Unit,"","",""
months,"","","",FALSE,"",timePointUnit,,"","",months,Class,Experiment,Unit,Time_Unit,"","",""
quarters,Time point unit referring to quarters in a year.,"","",FALSE,"","",,"","",quarters,Class,Experiment,Unit,Time_Unit,"","",""
