Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules,.ID,.Type,.Module,.Root,.SubOf,.Range,.Cardinality,.EditorNote
Medical University of South Carolina,,,,FALSE,,,,,,,,,Institution,,,,
Memorial Sloan Kettering Cancer Center,,,,FALSE,,,,,,,,,Institution,,,,
Mercer University,,,,FALSE,,,,,,,,,Institution,,,,
Miami University,,,,FALSE,,,,,,,,,Institution,,,,
Michigan State University,,,,FALSE,,,,,,,,,Institution,,,,
Michigan Technological University,,,,FALSE,,,,,,,,,Institution,,,,
Mississippi State University,,,,FALSE,,,,,,,,,Institution,,,,
Missouri University of Science and Technology,,,,FALSE,,,,,,,,,Institution,,,,
"Montana State University, Bozeman",,,,FALSE,,,,,,,,,Institution,,,,
Montclair State University,,,,FALSE,,,,,,,,,Institution,,,,
Morehouse School of Medicine,,,,FALSE,,,,,,,,,Institution,,,,
Morgan State University,,,,FALSE,,,,,,,,,Institution,,,,
National Institutes of Health,,,,FALSE,,,,,,,,,Institution,,,,
NCI Center for Cancer Research,,,,FALSE,,,,,,,,,Institution,,,,
New Jersey Institute of Technology,,,,FALSE,,,,,,,,,Institution,,,,
New Mexico State University,,,,FALSE,,,,,,,,,Institution,,,,
New York Medical College,,,,FALSE,,,,,,,,,Institution,,,,
New York University,,,,FALSE,,,,,,,,,Institution,,,,
North Carolina Central University,,,,FALSE,,,,,,,,,Institution,,,,
North Carolina State University,,,,FALSE,,,,,,,,,Institution,,,,
North Dakota State University,,,,FALSE,,,,,,,,,Institution,,,,
Northeast Ohio Medical University,,,,FALSE,,,,,,,,,Institution,,,,
Northeastern University,,,,FALSE,,,,,,,,,Institution,,,,
Northern Arizona University,,,,FALSE,,,,,,,,,Institution,,,,
Northern Illinois University,,,,FALSE,,,,,,,,,Institution,,,,
Northwestern University,,,,FALSE,,,,,,,,,Institution,,,,
Nova Southeastern University,,,,FALSE,,,,,,,,,Institution,,,,
Ohio State University,,,,FALSE,,,,,,,,,Institution,,,,
